date,doc,batch_id,tank_id,population_n,abw,feed_rate,feed_g,feed_n,squid_g,feed_ratio,feed_frequency_2,mortality,mortality_g,biomass,probiotic_brand,probiotic_ml,prophylaxis,prophylaxis_ml,feed_brand,protein_pc,water_exchange,gvc,yvc,tvc,do,nh3_am,ph_am,temp_am,temp_pm,alkalinity,salinity,no3,no2,molting,comments,sampling_abw,sampling_id
13 February 2023,1,SYF-JV-120223,K1,880,9.50,7.18%,600,8,,Feeding Ratio,,20,,8360.00,,,,,Feng Li,38%,5.00,,,0,,,,,,,,,,,,,130223K1
13 February 2023,1,SYF-JV-120223,K2,765,9.50,8.26%,600,8,,,,60,,7267.50,,,,,Feng Li,38%,5.00,,,0,,,,,,,,,,,,,130223K2
14 February 2023,2,SYF-JV-120223,K1,488,9.50,5.18%,240,8,,,,12,,4636.00,,,,,Feng Li,38%,5.00,,,0,,,,,,,,,,,,,140223K1
14 February 2023,2,SYF-JV-120223,K2,393,9.50,6.43%,240,8,,,,2,,3733.50,,,,,Feng Li,38%,5.00,,,0,,,,,,,,,,,,,140223K2
14 February 2023,2,SYF-JV-120223,K3,350,9.50,7.22%,240,8,,,,0,,3325.00,,,,,Feng Li,38%,5.00,,,0,,,,,,,,,,,,,140223K3
14 February 2023,2,SYF-JV-120223,K4,400,9.50,7.37%,280,8,,,,0,,3800.00,,,,,Feng Li,38%,5.00,,,0,,,,,,,,,,,,,140223K4
15 February 2023,3,SYF-JV-120223,K1,486,9.50,5.20%,240,8,,,,2,,4617.00,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,150223K1
15 February 2023,3,SYF-JV-120223,K2,387,9.50,6.53%,240,8,,,,6,,3676.50,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,150223K2
15 February 2023,3,SYF-JV-120223,K3,350,9.50,7.22%,240,8,,,,0,,3325.00,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,150223K3
15 February 2023,3,SYF-JV-120223,K4,400,9.50,7.37%,280,8,,,,0,,3800.00,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,150223K4
16 February 2023,4,SYF-JV-120223,K1,486,9.50,5.20%,240,8,,,,0,,4617.00,Super NB,100,,,Samsung,38%,5.00,,,0,,,,,,,,,,,,,160223K1
16 February 2023,4,SYF-JV-120223,K2,387,9.50,6.53%,240,8,,,,0,,3676.50,Super NB,100,,,Samsung,38%,5.00,,,0,,,,,,,,,,,,,160223K2
16 February 2023,4,SYF-JV-120223,K3,350,9.50,7.22%,240,8,,,,0,,3325.00,Super NB,100,,,Samsung,38%,5.00,,,0,,,,,,,,,,,,,160223K3
16 February 2023,4,SYF-JV-120223,K4,400,9.50,7.37%,280,8,,,,0,,3800.00,Super NB,100,,,Samsung,38%,5.00,,,0,,,,,,,,,,,,,160223K4
17 February 2023,5,SYF-JV-120223,K1,486,9.50,5.20%,240,8,,,,0,,4617.00,Super NB,100,,,Samsung,38%,5.00,,,0,,,,,,,,,,,,,170223K1
17 February 2023,5,SYF-JV-120223,K2,387,9.50,6.53%,240,8,,,,0,,3676.50,Super NB,100,,,Samsung,38%,5.00,,,0,,,,,,,,,,,,,170223K2
17 February 2023,5,SYF-JV-120223,K3,350,9.50,7.22%,240,8,,,,0,,3325.00,Super NB,100,,,Samsung,38%,5.00,,,0,,,,,,,,,,,,,170223K3
17 February 2023,5,SYF-JV-120223,K4,400,9.50,7.37%,280,8,,,,0,,3800.00,Super NB,100,,,Samsung,38%,5.00,,,0,,,,,,,,,,,,,170223K4
18 February 2023,6,SYF-JV-120223,K1,486,9.50,5.20%,240,8,,,,0,,4617.00,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,180223K1
18 February 2023,6,SYF-JV-120223,K2,387,9.50,6.53%,240,8,,,,0,,3676.50,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,180223K2
18 February 2023,6,SYF-JV-120223,K3,350,9.50,7.22%,240,8,,,,0,,3325.00,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,180223K3
18 February 2023,6,SYF-JV-120223,K4,400,9.50,7.37%,280,8,,,,0,,3800.00,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,180223K4
19 February 2023,7,SYF-JV-120223,K1,486,9.50,5.20%,240,8,,,,0,,4617.00,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,190223K1
19 February 2023,7,SYF-JV-120223,K2,387,9.50,6.53%,240,8,,,,0,,3676.50,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,190223K2
19 February 2023,7,SYF-JV-120223,K3,350,9.50,7.22%,240,8,,,,0,,3325.00,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,190223K3
19 February 2023,7,SYF-JV-120223,K4,400,9.50,7.37%,280,8,,,,0,,3800.00,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,190223K4
20 February 2023,8,SYF-JV-120223,K1,486,9.50,5.20%,240,8,,,,0,,4617.00,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,200223K1
20 February 2023,8,SYF-JV-120223,K2,387,9.50,6.53%,240,8,,,,0,,3676.50,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,200223K2
20 February 2023,8,SYF-JV-120223,K3,350,9.50,7.22%,240,8,,,,0,,3325.00,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,200223K3
20 February 2023,8,SYF-JV-120223,K4,400,9.50,7.37%,280,8,,,,0,,3800.00,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,200223K4
21 February 2023,9,SYF-JV-120223,K1,486,9.50,6.06%,280,8,,,,0,,4617.00,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,210223K1
21 February 2023,9,SYF-JV-120223,K2,387,9.50,7.62%,280,8,,,,0,,3676.50,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,210223K2
21 February 2023,9,SYF-JV-120223,K3,350,9.50,8.42%,280,8,,,,0,,3325.00,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,210223K3
21 February 2023,9,SYF-JV-120223,K4,400,9.50,8.42%,320,8,,,,0,,3800.00,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,210223K4
22 February 2023,10,SYF-JV-120223,K1,486,10.23,5.63%,280,8,,,,0,,4971.78,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,11.0,220223K1
22 February 2023,10,SYF-JV-120223,K2,387,10.23,7.07%,280,8,,,,0,,3959.01,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,13.0,220223K2
22 February 2023,10,SYF-JV-120223,K3,350,10.23,7.82%,280,8,,,,0,,3580.50,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,15.0,220223K3
22 February 2023,10,SYF-JV-120223,K4,400,10.23,7.82%,320,8,,,,0,,4092.00,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,11.0,220223K4
23 February 2023,11,SYF-JV-120223,K1,486,10.23,5.63%,280,8,,,,0,,4971.78,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,230223K1
23 February 2023,11,SYF-JV-120223,K2,387,10.23,7.07%,280,8,,,,0,,3959.01,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,230223K2
23 February 2023,11,SYF-JV-120223,K3,350,10.23,7.82%,280,8,,,,0,,3580.50,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,230223K3
23 February 2023,11,SYF-JV-120223,K4,400,10.23,7.82%,320,8,,,,0,,4092.00,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,230223K4
24 February 2023,12,SYF-JV-120223,K1,486,10.23,6.44%,320,8,,,,0,,4971.78,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,240223K1
24 February 2023,12,SYF-JV-120223,K2,387,10.23,7.07%,280,8,,,,0,,3959.01,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,240223K2
24 February 2023,12,SYF-JV-120223,K3,350,10.23,7.82%,280,8,,,,0,,3580.50,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,240223K3
24 February 2023,12,SYF-JV-120223,K4,400,10.23,7.82%,320,8,,,,0,,4092.00,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,240223K4
25 February 2023,13,SYF-JV-120223,K1,486,10.23,6.44%,320,8,,,,0,,4971.78,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,250223K1
25 February 2023,13,SYF-JV-120223,K2,387,10.23,7.07%,280,8,,,,0,,3959.01,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,250223K2
25 February 2023,13,SYF-JV-120223,K3,350,10.23,7.82%,280,8,,,,0,,3580.50,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,250223K3
25 February 2023,13,SYF-JV-120223,K4,400,10.23,7.82%,320,8,,,,0,,4092.00,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,250223K4
26 February 2023,14,SYF-JV-120223,K1,486,10.23,6.44%,320,8,,,,0,,4971.78,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,260223K1
26 February 2023,14,SYF-JV-120223,K2,387,10.23,7.07%,280,8,,,,0,,3959.01,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,260223K2
26 February 2023,14,SYF-JV-120223,K3,350,10.23,7.82%,280,8,,,,0,,3580.50,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,260223K3
26 February 2023,14,SYF-JV-120223,K4,400,10.23,7.82%,320,8,,,,0,,4092.00,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,260223K4
27 February 2023,15,SYF-JV-120223,K1,486,10.23,6.44%,320,8,,,,0,,4971.78,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,270223K1
27 February 2023,15,SYF-JV-120223,K2,387,10.23,7.07%,280,8,,,,0,,3959.01,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,270223K2
27 February 2023,15,SYF-JV-120223,K3,350,10.23,7.82%,280,8,,,,0,,3580.50,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,270223K3
27 February 2023,15,SYF-JV-120223,K4,400,10.23,7.82%,320,8,,,,0,,4092.00,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,270223K4
28 February 2023,16,SYF-JV-120223,K1,486,10.23,8.05%,400,8,,,,0,,4971.78,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,280223K1
28 February 2023,16,SYF-JV-120223,K2,387,10.23,8.08%,320,8,,,,0,,3959.01,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,280223K2
28 February 2023,16,SYF-JV-120223,K3,350,10.23,8.94%,320,8,,,,0,,3580.50,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,280223K3
28 February 2023,16,SYF-JV-120223,K4,400,10.23,9.78%,400,8,,,,0,,4092.00,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,280223K4
1 March 2023,17,SYF-JV-120223,K1,486,10.23,8.05%,400,8,,,,0,,4971.78,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,010323K1
1 March 2023,17,SYF-JV-120223,K2,387,10.23,8.08%,320,8,,,,0,,3959.01,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,010323K2
1 March 2023,17,SYF-JV-120223,K3,350,10.23,8.94%,320,8,,,,0,,3580.50,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,010323K3
1 March 2023,17,SYF-JV-120223,K4,400,10.23,9.78%,400,8,,,,0,,4092.00,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,,010323K4
2 March 2023,18,SYF-JV-120223,K1,486,10.23,8.05%,400,8,,,,0,,4971.78,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,11.0,020323K1
2 March 2023,18,SYF-JV-120223,K2,387,10.23,8.08%,320,8,,,,0,,3959.01,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,11.0,020323K2
2 March 2023,18,SYF-JV-120223,K3,350,10.23,8.94%,320,8,,,,0,,3580.50,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,16.0,020323K3
2 March 2023,18,SYF-JV-120223,K4,400,10.23,9.78%,400,8,,,,0,,4092.00,Super NB,100,,,Samsung,38%,10.00,,,0,,,,,,,,,,,,12.0,020323K4
3 March 2023,19,SYF-JV-120223,B1,200,14.75,6.78%,200,8,,,,0,,2950.00,Super NB,50,,,Samsung,38%,1.00,,,0,6.30,,8.46,29.70,30.60,,,,,,,,030323B1
3 March 2023,19,SYF-JV-120223,B2,200,14.75,6.78%,200,8,,,,0,,2950.00,Super NB,50,,,Samsung,38%,1.00,,,0,5.90,,8.44,29.90,30.80,,,,,,,,030323B2
